S.No,Stock_tick,Average log returns,Standard deviation of log returns,Security,GICS.Sector,GICS.Sub.Industry,Headquarters.Location,Date.first.added,CIK,Founded
7,ABMD,0.006198037,0.032815666,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/2018,815094,1981
38,AMZN,0.005316935,0.027799795,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/2005,1018724,1994
386,PYPL,0.005238856,0.044647794,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",7/20/2015,1633917,1998
148,DXCM,0.005090723,0.045177199,DexCom,Health Care,Health Care Equipment,"San Diego, California",5/12/2020,1093557,1999
150,EBAY,0.004874057,0.026185124,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1065088,1995
486,WST,0.004479544,0.033452857,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",5/22/2020,105770,
345,NVDA,0.004436528,0.048433773,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",11/30/2001,1045810,
308,MKTX,0.00430782,0.040161502,MarketAxess,Financials,Financial Exchanges & Data,"New York, New York",7/1/2019,1278021,2000
99,CMG,0.004245685,0.044461762,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/2011,1058090,
83,CDNS,0.00413482,0.039882413,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",9/18/2017,813672,
442,TSCO,0.00404215,0.034054171,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1/24/2014,916365,
193,FTNT,0.003862152,0.047099664,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",10/11/2018,1262039,2000
119,CTXS,0.003709327,0.031516686,Citrix Systems,Information Technology,Application Software,"Fort Lauderdale, Florida",12/1/1999,877890,
414,SNPS,0.003703054,0.035781196,Synopsys Inc.,Information Technology,Application Software,"Mountain View, California",3/16/2017,883241,
239,INCY,0.003358075,0.030905419,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2/28/2017,879169,
95,CLX,0.003233655,0.024659276,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",3/31/1969,21076,1913
332,NFLX,0.003164036,0.03357513,Netflix Inc.,Communication Services,Movies & Entertainment,"Los Gatos, California",12/20/2010,1065280,1997
238,ILMN,0.003149668,0.035381307,Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California",11/19/2015,1110803,
235,IDXX,0.003001036,0.033992689,IDEXX Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",1/5/2017,874716,
392,REGN,0.002945503,0.033561739,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",5/1/2013,872589,
15,ADSK,0.002937672,0.04537667,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",12/1/1989,769397,
351,ODFL,0.002937457,0.037912834,Old Dominion Freight Line,Industrials,Trucking,"Thomasville, North Carolina",12/9/2019,878927,1934
424,SWKS,0.002871532,0.049330379,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts",3/12/2015,4127,
50,ATVI,0.002838675,0.032317247,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/2015,718877,2008
254,JBHT,0.002778123,0.037084878,J. B. Hunt Transport Services,Industrials,Trucking,"Lowell, Arkansas",7/1/2015,728535,
266,KLAC,0.002736866,0.054227846,KLA Corporation,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201,1975/1977 (1997)
175,FB,0.002723788,0.037332747,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California",12/23/2013,1326801,
4,AAPL,0.002657338,0.035633529,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/1982,320193,1977
445,TTWO,0.002637652,0.032113263,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York, New York",3/19/2018,946581,
10,ADBE,0.002619302,0.041444545,Adobe Inc.,Information Technology,Application Software,"San Jose, California",5/5/1997,796343,1982
245,IPGP,0.002565218,0.044565885,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",3/7/2018,1111928,
320,MSFT,0.002561412,0.037665629,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",6/1/1994,789019,1975
75,CAG,0.002476361,0.028264796,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/1983,23217,
149,EA,0.002421544,0.030274762,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/2002,712515,
177,FCX,0.002389064,0.065818738,Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona",,831259,1912
339,NOW,0.002387958,0.042115448,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",11/21/2019,1373715,2003
331,NEM,0.002319779,0.038673415,Newmont Corporation,Materials,Gold,"Denver, Colorado",6/30/1969,1164727,1921
174,FAST,0.002252694,0.034863984,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",9/15/2008,815556,1967
498,ZBRA,0.002241167,0.044002133,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",12/23/2019,877212,1969
491,XLNX,0.002172296,0.038588843,Xilinx,Information Technology,Semiconductors,"San Jose, California",11/8/1999,743988,
24,AKAM,0.002098746,0.032517595,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/2007,1086222,1998
469,VRTX,0.002081709,0.035662639,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",9/23/2013,875320,
70,BR,0.002071835,0.03197309,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/2018,1383312,1962
287,LOW,0.002059458,0.049869943,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/1984,60667,1904/1946/1959
307,MKC,0.002048057,0.035849491,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",,63754,1889
458,UPS,0.00201149,0.031823652,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",7/22/2002,1090727,1907
417,SPGI,0.001987652,0.043828144,"S&P Global, Inc.",Financials,Financial Exchanges & Data,"New York, New York",,64040,
131,DHR,0.001978199,0.029033064,Danaher Corp.,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1969
437,TMO,0.001972894,0.031461987,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",,97745,2006 (1902)
264,KHC,0.001968001,0.040044537,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",7/6/2015,1637459,2015 (1869)
283,LLY,0.001941846,0.035120197,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/1970,59478,1876
128,DG,0.001937897,0.026745624,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/2012,29534,1939
180,FFIV,0.001890912,0.035036427,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington",12/20/2010,1048695,1996
43,AOS,0.001877855,0.030893797,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,91142,1916
319,MSCI,0.001866031,0.048406804,MSCI Inc,Financials,Financial Exchanges & Data,"New York, New York",4/4/2018,1408198,
40,ANSS,0.001858743,0.039596587,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/2017,1013462,1969
35,AMGN,0.001818905,0.032138066,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,318154,1980
26,ALGN,0.001745209,0.057110839,Align Technology,Health Care,Health Care Supplies,"San Jose, California",6/19/2017,1097149,1997
299,MCHP,0.001730455,0.057193104,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",9/7/2007,827054,
222,HOLX,0.001696347,0.041745642,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",3/30/2016,859737,
137,DLTR,0.001695823,0.043987993,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/2011,935703,
125,DD,0.001667586,0.046566912,DuPont de Nemours Inc,Materials,Specialty Chemicals,"Midland, Michigan",4/2/2019,1666700,2017
9,ACN,0.001665948,0.038336909,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1467373,1989
371,PKI,0.001660645,0.030706762,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts",5/31/1985,31791,
198,GIS,0.001658127,0.027165621,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/31/1969,40704,1856
178,FDX,0.001569245,0.04806628,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/1980,1048911,
105,COG,0.001561053,0.044611092,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/2008,858470,
399,ROL,0.001550667,0.031737102,Rollins Inc.,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",10/1/2018,84839,1948
90,CHRW,0.001519809,0.024707317,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/2007,1043277,1905
45,APD,0.001512551,0.039699192,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,2969,1940
387,QCOM,0.001477741,0.04337006,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California",,804328,1985
354,ORCL,0.001472061,0.038562881,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California",8/31/1989,1341439,
8,ABT,0.001466764,0.034824115,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,1800,1888
33,AMD,0.001453813,0.045626265,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Santa Clara, California",3/20/2017,2488,1969
112,CRM,0.001436172,0.040043658,Salesforce.com,Information Technology,Application Software,"San Francisco, California",9/15/2008,1108524,
113,CSCO,0.001427476,0.037430244,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",12/1/1993,858877,
52,AVGO,0.001396285,0.049947128,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",5/8/2014,1730168,1961
438,TMUS,0.001380762,0.036099476,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",7/15/2019,1283699,1994
159,EQIX,0.001341162,0.036326806,Equinix,Real Estate,Specialized REITs,"Redwood City, California",3/20/2015,1101239,
140,DPZ,0.001323772,0.030758723,Domino's Pizza,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",5/12/2020,1286681,1960
459,URI,0.001277749,0.062072105,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/2014,1067701,1997
325,MXIM,0.00123462,0.039275194,Maxim Integrated Products Inc,Information Technology,Semiconductors,"San Jose, California",12/3/2018,743316,1983
30,ALXN,0.001202303,0.031473166,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",5/25/2012,899866,1992
355,ORLY,0.001195079,0.041235871,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",3/27/2009,898173,
67,BLK,0.001193882,0.045831083,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",4/4/2011,1364742,
100,CMI,0.001185359,0.040457053,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/1965,26172,1919
398,ROK,0.001182314,0.047248489,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,
397,RMD,0.001174765,0.044920052,ResMed,Health Care,Health Care Equipment,"San Diego, California",7/26/2017,943819,
11,ADI,0.001164898,0.047620946,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",10/12/1999,6281,1965
388,QRVO,0.001155681,0.048692769,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",6/11/2015,1604778,2015
297,MAS,0.001124372,0.038011666,Masco Corp.,Industrials,Building Products,"Livonia, Michigan",6/30/1981,62996,
447,TXN,0.001089576,0.039442396,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930
256,JKHY,0.00108432,0.032838772,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",11/13/2018,779152,1976
203,GOOGL,0.001070726,0.033069235,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2014,1652044,1998
434,TGT,0.001057939,0.032153807,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",12/31/1976,27419,
288,LRCX,0.001051519,0.059371288,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",6/29/2012,707549,
72,BWA,0.001017702,0.044601154,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/2011,908255,
483,WMT,0.00101145,0.027465964,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",8/31/1982,104169,
202,GOOG,0.000973261,0.032678231,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2006,1652044,1998
156,EMN,0.00096903,0.046627357,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,915389,
301,MCO,0.00096489,0.048108609,Moody's Corp,Financials,Financial Exchanges & Data,"New York, New York",,1059556,1909
136,DLR,0.000936484,0.038968628,Digital Realty Trust Inc,Real Estate,Specialized REITs,"San Francisco, California",5/18/2016,1297996,
281,LIN,0.000918377,0.035300274,Linde plc,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",7/1/1992,1707925,1879
39,ANET,0.000899036,0.040646138,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",8/28/2018,1596532,2004
400,ROP,0.000864322,0.037978467,Roper Technologies,Industrials,Industrial Conglomerates,"Sarasota, Florida",12/23/2009,882835,
242,INTU,0.0008604,0.042477797,Intuit Inc.,Information Technology,Application Software,"Mountain View, California",12/5/2000,896878,
357,PAYC,0.00086039,0.059913252,Paycom,Information Technology,Application Software,"Oklahoma City, Oklahoma",1/28/2020,1590955,1998
360,PCAR,0.000858487,0.031967046,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",12/31/1980,75362,
323,MTD,0.000800747,0.036878867,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",9/6/2016,1037646,
6,ABC,0.0007469,0.037436873,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/2001,1140859,1985
163,ETFC,0.000743579,0.057978811,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York",3/31/2004,1015780,
468,VRSN,0.000736129,0.035686983,Verisign Inc.,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2/1/2006,1014473,
89,CHD,0.000729491,0.027387729,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/2015,313927,
1,A,0.00071907,0.032921638,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,1090872,1999
5,ABBV,0.00071635,0.029749873,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,1551152,2013 (1888)
271,KR,0.000690644,0.026600785,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",,56873,1883
32,AMCR,0.000688232,0.046236163,Amcor plc,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",6/7/2019,1748790,2019 (1860)
200,GLW,0.000668384,0.0482438,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",,24741,1851
60,BBY,0.000646189,0.047356011,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/1999,764478,
209,GWW,0.000624239,0.040307942,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"Lake Forest, Illinois",6/30/1981,277135,
169,EXPD,0.000585986,0.027752662,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,746515,1979
37,AMT,0.000584368,0.041842477,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/2007,1053507,1995
61,BDX,0.000563605,0.030349938,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/1972,10795,1897
227,HRL,0.000547826,0.026291945,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/2009,48465,
318,MS,0.000546776,0.054102214,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",,895421,1935
312,MNST,0.000536527,0.032033577,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",6/28/2012,865752,
31,AMAT,0.000501629,0.05547424,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/1995,6951,1967
81,CCI,0.000500511,0.039372266,Crown Castle International Corp.,Real Estate,Specialized REITs,"Houston, Texas",3/14/2012,1051470,
56,AZO,0.000496587,0.041262465,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/1997,866787,
207,GRMN,0.000443771,0.033166798,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1121788,
329,NDAQ,0.000401963,0.039602007,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York, New York",10/22/2008,1120193,
407,SEE,0.000399767,0.052073402,Sealed Air,Materials,Paper Packaging,"Charlotte, North Carolina",,1012100,1960
334,NKE,0.000397636,0.03856868,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/1988,320187,
215,HD,0.000314715,0.043544,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/1988,354950,
457,UNP,0.000314098,0.039714405,Union Pacific Corp,Industrials,Railroads,"Omaha, Nebraska",,100885,1862
236,IEX,0.000302369,0.03500342,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",8/9/2019,832101,1988
467,VRSK,0.000279975,0.036210788,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/2015,1442145,1971
261,K,0.000278236,0.028100308,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067,1906
372,PLD,0.000257166,0.043892835,Prologis,Real Estate,Industrial REITs,"San Francisco, California",7/17/2003,1045609,
231,HUM,0.000244558,0.043803597,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",,49071,1961
108,COST,0.000227469,0.023116634,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/1993,909832,
433,TFX,0.000216859,0.040126893,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",1/18/2019,96943,1943
240,INFO,0.000216601,0.042629115,IHS Markit Ltd.,Industrials,Research & Consulting Services,"London, United Kingdom",6/2/2017,1598014,
370,PKG,0.000208602,0.040402998,Packaging Corporation of America,Materials,Paper Packaging,"Lake Forest, Illinois",7/26/2017,75677,
263,KEYS,0.000205833,0.039782909,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",11/6/2018,1601046,2014
335,NLOK,0.000188685,0.02744742,NortonLifeLock,Information Technology,Application Software,"Tempe, Arizona",3/25/2003,849399,
102,CNC,0.000187654,0.044324448,Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri",3/30/2016,1071739,
91,CHTR,0.000174913,0.030881925,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/2016,1091667,
258,JNPR,0.000172388,0.031378719,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",6/2/2006,1043604,1996
153,EFX,0.000116616,0.035459182,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/1997,33185,1899
408,SHW,0.000110765,0.041204788,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",6/30/1964,89800,1866
455,UNH,0.000103575,0.043065059,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/1994,731766,
423,SWK,0.0001035,0.062100816,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut",9/30/1982,93556,
129,DGX,9.41E-05,0.038036697,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",12/12/2002,1022079,
3,AAP,7.58E-05,0.045834044,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/2015,1158449,1932
404,SBAC,7.54E-05,0.037454187,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida",9/1/2017,1034054,
479,WHR,5.93E-05,0.058933356,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911
347,NWL,2.96E-05,0.052566733,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",4/30/1989,814453,
141,DRE,9.53E-06,0.045410133,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana",7/26/2017,783280,
241,INTC,-1.94E-06,0.04630431,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",12/31/1976,50863,
409,SIVB,-3.37E-06,0.060396253,SVB Financial,Financials,Regional Banks,"Santa Clara, California",3/19/2018,719739,
257,JNJ,-4.36E-05,0.027814556,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",6/30/1973,200406,1886
349,NWSA,-5.81E-05,0.044024973,News Corp. Class A,Communication Services,Publishing,"New York, New York",8/1/2013,1564708,
77,CAT,-7.83E-05,0.040631271,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",,18230,1925
446,TWTR,-7.92E-05,0.049740432,"Twitter, Inc.",Communication Services,Interactive Media & Services,"San Francisco, California",6/7/2018,1418091,
130,DHI,-8.18E-05,0.055316777,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,882184,1978
